자치구,시점,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인이상가구,총 가구수,1인가구 비율,2인가구 비율,3인가구 비율,4인가구 비율,5인가구 비율,6인가구 비율,7인가구이상 비율
노원구,2018,51280,51939,47672,40995,8517,1542,381,202326,0.2534523491790477,0.25670946887696094,0.23561974239593528,0.20261854630645593,0.042095430147385905,0.007621363542006465,0.001883099552207823
노원구,2019,53365,52832,46783,38952,7772,1447,307,201458,0.2648939232991492,0.26224821054512604,0.2322221008845516,0.1933504750369804,0.038578760833523615,0.007182638564862155,0.0015238908358069672
노원구,2020,56438,54201,45680,37794,7101,1209,272,202695,0.2784380473124645,0.26740176126692816,0.2253632304694245,0.18645748538444462,0.03503293125138755,0.005964626655812921,0.001341917659537729
노원구,2021,60647,55537,44749,35625,6454,1049,221,204282,0.29687882437023333,0.27186438354823234,0.2190550317698084,0.17439128263870532,0.031593581421760115,0.005135058399663211,0.0010818378515973018
은평구,2017,46535,49163,41144,32289,8115,1857,538,179641,0.2590444274970636,0.2736736045780195,0.22903457451249992,0.1797418184044845,0.04517342922829421,0.01033728380492204,0.0029948619747162397
은평구,2018,48888,50617,40750,31086,7833,1682,482,181338,0.2695960030440393,0.2791306841368053,0.22471848150966703,0.1714257353671045,0.04319557952552692,0.009275496586484907,0.0026580198303720126
은평구,2019,52814,52257,40789,29700,7303,1604,423,184890,0.2856509275785602,0.2826383254908324,0.22061225593596193,0.16063605386986857,0.039499161663691926,0.008675428633241387,0.002287846827843583
은평구,2020,57853,54542,40464,29125,6928,1387,332,190631,0.3034815953333928,0.28611296169038614,0.21226348285431015,0.15278207636743238,0.036342462663470264,0.007275836563832745,0.001741584527175538
은평구,2021,62447,55765,39700,27795,6420,1207,292,193626,0.32251350541766083,0.2880036771921126,0.2050344478530776,0.14354993647547334,0.03315670416163118,0.006233666966213215,0.0015080619338312003
서대문구,2017,43418,31366,25369,20065,4941,1161,352,126672,0.34275925224201087,0.24761588985726918,0.20027314639383606,0.15840122521157005,0.03900625236832134,0.009165403561955287,0.0027788303650372616
서대문구,2018,44795,31734,25206,19423,4641,1082,316,127197,0.352170255587789,0.24948701620321234,0.19816505106252505,0.1527001422989536,0.036486709592207366,0.00850648993293867,0.0024843353223739555
서대문구,2019,46449,32581,25283,18696,4376,976,274,128635,0.36109146033350176,0.25328254363120456,0.19654837330431066,0.14534147005091927,0.034018735180938314,0.007587359583317138,0.002130057915808295
서대문구,2020,49863,33611,25595,18769,4222,860,192,133112,0.3745943265821263,0.2525016527435543,0.19228168760141837,0.1410015625939059,0.03171765130115992,0.006460724803173268,0.001442394374661939
서대문구,2021,52792,33927,25223,17813,3857,761,171,134544,0.3923772148888096,0.2521628612201213,0.18747026994886432,0.13239535022000237,0.028667201807587108,0.005656142228564633,0.00127095968605066
마포구,2017,54162,38271,29979,23392,5516,1167,327,152814,0.35443087675213003,0.2504417134555734,0.19617966940201814,0.1530749800410957,0.036096169199157147,0.007636734854136401,0.00213985629588912
마포구,2018,56837,38861,29938,22671,5233,1108,292,154940,0.36683232218923456,0.25081321801987866,0.1932231831676778,0.1463211565767394,0.03377436427004001,0.00715115528591713,0.0018846004905124563
마포구,2019,59248,39471,29985,21930,4962,1014,275,156885,0.37765242056283266,0.2515919303948752,0.19112725882015488,0.13978391815661154,0.031628262740223734,0.006463333014628549,0.0017528763106734232
마포구,2020,63172,40569,29490,21726,4654,851,219,160681,0.39315164829693616,0.25248162508323946,0.18353134471406077,0.13521200390836502,0.028964221034223088,0.005296208014637698,0.001362948948537786
