,자치구별(2),시점,연령별(2),남자,여자
261,용산구,2021,45~49세,1450,1174
262,용산구,2021,50~54세,1386,1065
263,용산구,2021,55~59세,1234,932
264,용산구,2021,60~64세,1164,1200
265,용산구,2021,65~69세,815,1110
266,용산구,2021,70~74세,482,984
267,용산구,2021,75~79세,296,1039
268,용산구,2021,80~84세,230,887
269,용산구,2021,85세이상,143,756
270,성동구,2016,20세미만,423,455
271,성동구,2016,20~24세,2046,2230
272,성동구,2016,25~29세,3241,2465
273,성동구,2016,30~34세,2576,1824
274,성동구,2016,35~39세,1900,1325
275,성동구,2016,40~44세,1701,1123
276,성동구,2016,45~49세,1772,1061
277,성동구,2016,50~54세,1638,923
278,성동구,2016,55~59세,1431,1117
279,성동구,2016,60~64세,957,1076
280,성동구,2016,65~69세,554,1110
281,성동구,2016,70~74세,400,1113
282,성동구,2016,75~79세,287,1069
283,성동구,2016,80~84세,126,675
284,성동구,2016,85세이상,77,379
285,성동구,2017,20세미만,321,387
286,성동구,2017,20~24세,2052,2415
287,성동구,2017,25~29세,3551,2733
288,성동구,2017,30~34세,2679,1924
289,성동구,2017,35~39세,2091,1469
290,성동구,2017,40~44세,1665,1211
291,성동구,2017,45~49세,1743,1134
292,성동구,2017,50~54세,1619,910
293,성동구,2017,55~59세,1571,1157
294,성동구,2017,60~64세,1093,1216
295,성동구,2017,65~69세,642,1125
296,성동구,2017,70~74세,391,1128
297,성동구,2017,75~79세,317,1159
298,성동구,2017,80~84세,163,717
299,성동구,2017,85세이상,66,418
300,성동구,2018,20세미만,314,444
301,성동구,2018,20~24세,2090,2666
302,성동구,2018,25~29세,3560,2969
303,성동구,2018,30~34세,2725,2027
304,성동구,2018,35~39세,2055,1587
305,성동구,2018,40~44세,1619,1183
306,성동구,2018,45~49세,1751,1216
307,성동구,2018,50~54세,1669,987
308,성동구,2018,55~59세,1540,1204
309,성동구,2018,60~64세,1266,1317
310,성동구,2018,65~69세,671,1160
311,성동구,2018,70~74세,465,1189
312,성동구,2018,75~79세,321,1219
313,성동구,2018,80~84세,187,794
314,성동구,2018,85세이상,76,435
315,성동구,2019,20세미만,240,347
316,성동구,2019,20~24세,2016,2693
317,성동구,2019,25~29세,3696,3182
318,성동구,2019,30~34세,2775,2132
319,성동구,2019,35~39세,2032,1623
320,성동구,2019,40~44세,1566,1186
321,성동구,2019,45~49세,1722,1268
322,성동구,2019,50~54세,1687,983
323,성동구,2019,55~59세,1538,1177
324,성동구,2019,60~64세,1382,1331
325,성동구,2019,65~69세,743,1199
326,성동구,2019,70~74세,473,1242
327,성동구,2019,75~79세,347,1210
328,성동구,2019,80~84세,198,884
329,성동구,2019,85세이상,110,506
330,성동구,2020,20세미만,319,434
331,성동구,2020,20~24세,2035,2815
332,성동구,2020,25~29세,3754,3298
333,성동구,2020,30~34세,2792,2216
334,성동구,2020,35~39세,2081,1628
335,성동구,2020,40~44세,1553,1237
336,성동구,2020,45~49세,1643,1221
337,성동구,2020,50~54세,1680,1027
338,성동구,2020,55~59세,1526,1115
339,성동구,2020,60~64세,1439,1411
340,성동구,2020,65~69세,857,1313
341,성동구,2020,70~74세,499,1249
342,성동구,2020,75~79세,357,1243
343,성동구,2020,80~84세,214,953
344,성동구,2020,85세이상,125,551
345,성동구,2021,20세미만,212,322
346,성동구,2021,20~24세,1917,2802
347,성동구,2021,25~29세,4222,3687
348,성동구,2021,30~34세,3105,2437
349,성동구,2021,35~39세,2193,1635
350,성동구,2021,40~44세,1649,1362
351,성동구,2021,45~49세,1588,1185
352,성동구,2021,50~54세,1709,1113
353,성동구,2021,55~59세,1602,1119
354,성동구,2021,60~64세,1552,1526
355,성동구,2021,65~69세,1027,1437
356,성동구,2021,70~74세,557,1297
357,성동구,2021,75~79세,382,1284
358,성동구,2021,80~84세,255,997
359,성동구,2021,85세이상,157,616
360,광진구,2016,20세미만,334,471
361,광진구,2016,20~24세,2403,3733
362,광진구,2016,25~29세,4884,5045
363,광진구,2016,30~34세,4358,3711
364,광진구,2016,35~39세,2866,2290
365,광진구,2016,40~44세,2320,1583
366,광진구,2016,45~49세,2221,1459
367,광진구,2016,50~54세,1966,1312
368,광진구,2016,55~59세,1692,1600
369,광진구,2016,60~64세,1092,1498
370,광진구,2016,65~69세,731,1208
371,광진구,2016,70~74세,479,1200
372,광진구,2016,75~79세,332,1021
373,광진구,2016,80~84세,160,668
374,광진구,2016,85세이상,89,443
375,광진구,2017,20세미만,349,453
376,광진구,2017,20~24세,2395,3885
377,광진구,2017,25~29세,5132,5203
378,광진구,2017,30~34세,4309,3667
379,광진구,2017,35~39세,2930,2491
380,광진구,2017,40~44세,2277,1659
381,광진구,2017,45~49세,2277,1537
382,광진구,2017,50~54세,1969,1307
383,광진구,2017,55~59세,1786,1619
384,광진구,2017,60~64세,1230,1651
385,광진구,2017,65~69세,813,1286
386,광진구,2017,70~74세,529,1174
387,광진구,2017,75~79세,354,1145
388,광진구,2017,80~84세,194,707
389,광진구,2017,85세이상,86,452
390,광진구,2018,20세미만,308,428
391,광진구,2018,20~24세,2436,4087
392,광진구,2018,25~29세,5498,5700
393,광진구,2018,30~34세,4211,3708
394,광진구,2018,35~39세,2985,2570
395,광진구,2018,40~44세,2139,1579
396,광진구,2018,45~49세,2191,1547
397,광진구,2018,50~54세,1939,1281
398,광진구,2018,55~59세,1844,1646
399,광진구,2018,60~64세,1412,1724
400,광진구,2018,65~69세,823,1351
401,광진구,2018,70~74세,624,1233
402,광진구,2018,75~79세,356,1169
403,광진구,2018,80~84세,198,780
404,광진구,2018,85세이상,93,477
405,광진구,2019,20세미만,212,364
406,광진구,2019,20~24세,2429,4281
407,광진구,2019,25~29세,5864,6075
408,광진구,2019,30~34세,4424,3974
409,광진구,2019,35~39세,2980,2669
410,광진구,2019,40~44세,2130,1637
411,광진구,2019,45~49세,2163,1548
412,광진구,2019,50~54세,2071,1352
413,광진구,2019,55~59세,1932,1612
414,광진구,2019,60~64세,1570,1822
415,광진구,2019,65~69세,885,1401
416,광진구,2019,70~74세,659,1300
417,광진구,2019,75~79세,400,1221
418,광진구,2019,80~84세,211,849
419,광진구,2019,85세이상,105,574
420,광진구,2020,20세미만,221,341
421,광진구,2020,20~24세,2682,4601
422,광진구,2020,25~29세,6256,6993
423,광진구,2020,30~34세,4820,4171
424,광진구,2020,35~39세,2959,2733
425,광진구,2020,40~44세,2187,1781
426,광진구,2020,45~49세,2123,1477
427,광진구,2020,50~54세,2077,1457
428,광진구,2020,55~59세,2023,1553
429,광진구,2020,60~64세,1691,1955
430,광진구,2020,65~69세,1053,1597
431,광진구,2020,70~74세,697,1383
432,광진구,2020,75~79세,436,1252
433,광진구,2020,80~84세,227,857
434,광진구,2020,85세이상,118,580
435,광진구,2021,20세미만,169,296
436,광진구,2021,20~24세,2679,4655
437,광진구,2021,25~29세,6774,7646
438,광진구,2021,30~34세,5314,4618
439,광진구,2021,35~39세,3081,2789
440,광진구,2021,40~44세,2340,1917
441,광진구,2021,45~49세,2098,1456
442,광진구,2021,50~54세,2227,1511
443,광진구,2021,55~59세,2093,1515
444,광진구,2021,60~64세,1885,2084
445,광진구,2021,65~69세,1211,1812
446,광진구,2021,70~74세,719,1465
447,광진구,2021,75~79세,480,1284
448,광진구,2021,80~84세,256,960
449,광진구,2021,85세이상,130,676
450,동대문구,2016,20세미만,745,1034
451,동대문구,2016,20~24세,3915,4679
452,동대문구,2016,25~29세,5165,3410
453,동대문구,2016,30~34세,3210,2121
454,동대문구,2016,35~39세,2195,1505
455,동대문구,2016,40~44세,2039,1111
456,동대문구,2016,45~49세,2009,1143
457,동대문구,2016,50~54세,1983,1144
458,동대문구,2016,55~59세,1821,1497
459,동대문구,2016,60~64세,1427,1559
460,동대문구,2016,65~69세,1027,1618
461,동대문구,2016,70~74세,710,1697
462,동대문구,2016,75~79세,517,1563
463,동대문구,2016,80~84세,231,925
464,동대문구,2016,85세이상,109,541
465,동대문구,2017,20세미만,720,976
466,동대문구,2017,20~24세,3890,5103
467,동대문구,2017,25~29세,5283,3486
468,동대문구,2017,30~34세,3239,2077
469,동대문구,2017,35~39세,2264,1547
470,동대문구,2017,40~44세,1903,1181
471,동대문구,2017,45~49세,2132,1177
472,동대문구,2017,50~54세,1930,1075
473,동대문구,2017,55~59세,1942,1515
474,동대문구,2017,60~64세,1543,1668
475,동대문구,2017,65~69세,1071,1654
476,동대문구,2017,70~74세,736,1696
477,동대문구,2017,75~79세,597,1658
478,동대문구,2017,80~84세,243,1002
479,동대문구,2017,85세이상,145,577
480,동대문구,2018,20세미만,693,1151
481,동대문구,2018,20~24세,3965,5378
482,동대문구,2018,25~29세,5361,3657
483,동대문구,2018,30~34세,3245,2083
484,동대문구,2018,35~39세,2326,1579
485,동대문구,2018,40~44세,1860,1195
486,동대문구,2018,45~49세,2084,1237
487,동대문구,2018,50~54세,1955,1129
488,동대문구,2018,55~59세,1931,1479
489,동대문구,2018,60~64세,1685,1792
490,동대문구,2018,65~69세,1116,1653
491,동대문구,2018,70~74세,787,1739
492,동대문구,2018,75~79세,639,1715
493,동대문구,2018,80~84세,289,1072
494,동대문구,2018,85세이상,162,636
495,동대문구,2019,20세미만,602,941
496,동대문구,2019,20~24세,4460,6199
497,동대문구,2019,25~29세,5708,4063
498,동대문구,2019,30~34세,3202,2149
499,동대문구,2019,35~39세,2313,1582
500,동대문구,2019,40~44세,1808,1223
501,동대문구,2019,45~49세,2059,1230
502,동대문구,2019,50~54세,2010,1109
503,동대문구,2019,55~59세,1992,1450
504,동대문구,2019,60~64세,1734,1884
505,동대문구,2019,65~69세,1249,1672
506,동대문구,2019,70~74세,879,1795
507,동대문구,2019,75~79세,638,1774
508,동대문구,2019,80~84세,335,1204
509,동대문구,2019,85세이상,187,701
510,동대문구,2020,20세미만,589,938
511,동대문구,2020,20~24세,4150,6417
512,동대문구,2020,25~29세,6018,4621
513,동대문구,2020,30~34세,3489,2512
514,동대문구,2020,35~39세,2429,1629
515,동대문구,2020,40~44세,1918,1304
516,동대문구,2020,45~49세,2082,1234
517,동대문구,2020,50~54세,2067,1132
518,동대문구,2020,55~59세,2011,1406
519,동대문구,2020,60~64세,1942,1965
520,동대문구,2020,65~69세,1377,1832
521,동대문구,2020,70~74세,945,1867
522,동대문구,2020,75~79세,652,1773
523,동대문구,2020,80~84세,352,1278
524,동대문구,2020,85세이상,218,778
525,동대문구,2021,20세미만,457,741
526,동대문구,2021,20~24세,4323,6941
527,동대문구,2021,25~29세,6683,5441
528,동대문구,2021,30~34세,3978,2794
529,동대문구,2021,35~39세,2453,1737
530,동대문구,2021,40~44세,2041,1415
531,동대문구,2021,45~49세,2056,1218
532,동대문구,2021,50~54세,2209,1229
533,동대문구,2021,55~59세,2074,1311
534,동대문구,2021,60~64세,2131,2060
535,동대문구,2021,65~69세,1650,1991
536,동대문구,2021,70~74세,1035,1906
537,동대문구,2021,75~79세,661,1812
538,동대문구,2021,80~84세,422,1405
539,동대문구,2021,85세이상,251,865
540,중랑구,2016,20세미만,92,140
541,중랑구,2016,20~24세,712,1141
542,중랑구,2016,25~29세,1922,2105
543,중랑구,2016,30~34세,2804,1932
544,중랑구,2016,35~39세,2400,1569
545,중랑구,2016,40~44세,2331,1470
546,중랑구,2016,45~49세,2804,1522
547,중랑구,2016,50~54세,2922,1663
548,중랑구,2016,55~59세,2619,2210
549,중랑구,2016,60~64세,1828,2018
550,중랑구,2016,65~69세,1180,1874
551,중랑구,2016,70~74세,727,1832
552,중랑구,2016,75~79세,495,1515
553,중랑구,2016,80~84세,232,963
554,중랑구,2016,85세이상,108,587
555,중랑구,2017,20세미만,88,115
556,중랑구,2017,20~24세,700,1209
557,중랑구,2017,25~29세,2077,2217
558,중랑구,2017,30~34세,2703,1954
559,중랑구,2017,35~39세,2542,1649
560,중랑구,2017,40~44세,2208,1454
561,중랑구,2017,45~49세,2831,1596
562,중랑구,2017,50~54세,2892,1674
563,중랑구,2017,55~59세,2835,2253
564,중랑구,2017,60~64세,2057,2213
565,중랑구,2017,65~69세,1291,1975
