자치구,시점,20세미만,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상,전체인구수,청년층,청년층비율,중년층,중년층비율,노년층,노년층비율
서대문구,2019,744,8292,8485,4713,3337,2480,2673,2282,2444,2661,2104,2015,1923,1475,821,46449,25571,0.5505177721802407,9879,0.21268488019117743,10999,0.23679734762858187
서대문구,2020,988,8945,8982,5420,3587,2629,2682,2465,2522,2744,2323,2138,1954,1539,945,49863,27922,0.5599743296632774,10298,0.20652588091370355,11643,0.23349978942301908
서대문구,2021,857,8953,9992,5910,3773,2823,2661,2755,2542,2914,2642,2195,2017,1691,1067,52792,29485,0.5585126534323382,10781,0.2042165479618124,12526,0.23727079860584938
마포구,2017,611,5804,10359,8698,6091,4328,3646,2578,2526,2243,1978,1804,1715,1149,632,54162,31563,0.5827517447657029,13078,0.2414608027768546,9521,0.17578745245744248
마포구,2018,782,6067,11271,9031,6456,4274,3784,2715,2516,2351,1995,1891,1804,1210,690,56837,33607,0.5912873656245051,13289,0.23380896247162938,9941,0.17490367190386544
마포구,2019,554,6608,12239,9331,6562,4275,3934,2794,2502,2501,1971,2013,1861,1302,801,59248,35294,0.5956994328922496,13505,0.22794018363489063,10449,0.17636038347285984
마포구,2020,663,6993,13204,10088,6872,4516,4053,2967,2576,2671,2199,2099,1922,1416,933,63172,37820,0.5986829608054202,14112,0.22339010954220223,11240,0.17792692965237764
마포구,2021,485,7144,14365,11063,7085,4835,4016,3286,2652,2923,2547,2212,2002,1488,1059,67162,40142,0.5976891694708317,14789,0.22019892200946964,12231,0.18211190851969863
양천구,2017,149,986,2691,3267,2943,2738,2949,2683,3322,3078,2505,1987,1780,1218,792,33088,10036,0.30331237911025144,11692,0.3533607350096712,11360,0.34332688588007737
양천구,2018,149,1047,2894,3307,3127,2572,2853,2763,3265,3377,2667,2191,1877,1306,909,34304,10524,0.3067863805970149,11453,0.3338677705223881,12327,0.359345848880597
양천구,2019,142,1182,3314,3489,3174,2653,2929,2797,3252,3668,2865,2472,1971,1447,990,36345,11301,0.31093685513825836,11631,0.32001650846058605,13413,0.3690466364011556
양천구,2020,144,1250,4031,3987,3344,2695,2967,2853,3346,3972,3382,2698,2109,1587,1071,39436,12756,0.3234607972410995,11861,0.30076579774825035,14819,0.37577340501065015
양천구,2021,131,1399,4537,4725,3528,2961,2880,3102,3363,4305,3859,3013,2258,1689,1223,42973,14320,0.3332324948223303,12306,0.2863658576315361,16347,0.3804016475461336
강서구,2017,256,3471,10220,9894,7363,5414,4807,4186,5143,4926,3798,3154,2673,1726,1206,68237,31204,0.45728856778580534,19550,0.2865014581532013,17483,0.25620997406099333
