자치구,시점,단독주택,아파트,연립주택,다세대주택,비거주용건물내,총 합,단독주택 비율,아파트 비율,연립주택 비율,다세대주택 비율,비거주용건물내 비율
동대문구,2017,19954,58161,3251,14866,1659,97891,0.2038389637453903,0.5941404214892074,0.03321040749404951,0.15186278616011686,0.016947421111235966
동대문구,2018,19484,60386,3181,16093,1658,100802,0.19328981567826034,0.5990555742941608,0.031556913553302514,0.1596496101267832,0.016448086347493104
동대문구,2019,18990,64081,3280,16834,1636,104821,0.18116598773146603,0.611337422844659,0.03129143969242804,0.16059759017754077,0.015607559553906183
동대문구,2020,17120,65033,3274,16511,1582,103520,0.16537867078825347,0.6282167697063369,0.03162673879443586,0.15949574961360125,0.015282071097372488
동대문구,2021,16388,66512,3287,16569,1531,104287,0.1571432680966947,0.6377784383480204,0.031518789494376094,0.1588788631373038,0.014680640923605052
중랑구,2017,19669,51031,4578,26949,1513,103740,0.18959899749373432,0.49191247349142087,0.04412955465587044,0.25977443609022555,0.014584538268748795
중랑구,2018,19208,51475,4451,29040,1517,105691,0.18173732862779235,0.4870329545562063,0.042113330368716353,0.2747632248725057,0.014353161574779309
중랑구,2019,18891,52162,4440,30958,1546,107997,0.17492152559793328,0.4829948980064261,0.04111225311814217,0.2866561108178931,0.01431521245960536
중랑구,2020,18560,55499,4466,32303,1536,112364,0.16517745897262467,0.493921540706988,0.039745826065287815,0.287485315581503,0.013669858673596526
중랑구,2021,17995,56651,4423,33916,1503,114488,0.15717804486059675,0.4948204178603871,0.03863286982041786,0.29624065404234506,0.013128013416253232
성북구,2017,25457,71571,6321,25902,1515,130766,0.19467598611259807,0.5473211691112368,0.04833825306272273,0.19807901136381018,0.011585580349632167
성북구,2018,24207,71754,6097,26446,1490,129994,0.18621628690554948,0.5519793221225595,0.04690216471529455,0.2034401587765589,0.01146206748003754
성북구,2019,23156,77457,6044,28315,1465,136437,0.16971935765224977,0.5677125706369973,0.04429883389403168,0.20753168128879995,0.010737556527921311
성북구,2020,22520,79206,6262,29213,1420,138621,0.16245734773230608,0.5713852879433852,0.04517353070602578,0.2107400754575425,0.010243758160740437
성북구,2021,21661,80967,6230,29900,1380,140138,0.15456906763333286,0.5777662018867117,0.04445617890936077,0.213361115471892,0.009847436098702707
강북구,2017,18369,33458,4882,36743,1074,94526,0.1943274866174386,0.35395552546389353,0.05164716585912871,0.38870786873452806,0.011361953325011108
강북구,2018,18185,33282,4881,37671,1078,95097,0.19122580102421738,0.3499794946212814,0.05132654026940913,0.3961323701063125,0.011335793978779561
강북구,2019,18017,34590,4748,38645,1070,97070,0.1856083238899763,0.3563407850005151,0.04891315545482641,0.3981147625424951,0.011022973112187081
강북구,2020,17557,34733,4789,39331,1042,97452,0.18016048926651068,0.35641136149078523,0.049142141772359725,0.40359356401100027,0.010692443459344088
강북구,2021,17261,34875,4834,39859,1011,97840,0.17642068683565004,0.3564493049877351,0.049407195421095666,0.4073896156991006,0.010333197056418643
도봉구,2017,9014,64352,4235,26422,729,104752,0.08605086299068275,0.6143271727508782,0.040428822361386896,0.25223384756376965,0.0069592943332824194
도봉구,2018,8903,64580,4176,27138,729,105526,0.0843678335197013,0.6119818812425374,0.03957318575516934,0.2571688493830904,0.0069082500995015445
도봉구,2019,8835,64955,4131,27986,734,106641,0.08284806031451318,0.6090996896128131,0.03873744619799139,0.2624318976753781,0.006882906199304208
도봉구,2020,8634,65032,4144,28620,726,107156,0.08057411624174102,0.6068908880510657,0.03867258949568853,0.26708723729889133,0.006775168912613386
도봉구,2021,8449,65305,4201,29289,715,107959,0.07826119174871943,0.6049055660019081,0.03891292064580072,0.2712974369899684,0.006622884613603312
노원구,2017,7081,161701,3508,14025,710,187025,0.037861248496190346,0.864595642293811,0.01875685068841064,0.0749899746023259,0.0037962839192621305
노원구,2018,6783,161273,3467,14312,698,186533,0.03636353889124176,0.8645816021829917,0.018586523564195077,0.07672637013289874,0.0037419652286726744
노원구,2019,6680,161873,3440,14684,699,187376,0.035650243360942704,0.8638939885577662,0.018358807958329774,0.07836649304073094,0.0037304670822303817
노원구,2020,6619,163502,3448,14948,696,189213,0.03498174015527474,0.8641161019591677,0.018222849381385,0.07900091431349854,0.0036783941906740024
노원구,2021,6553,164583,3444,15089,683,190352,0.03442569555350088,0.8646244851643271,0.018092796503320165,0.07926893334454065,0.003588089434311171
은평구,2017,16416,52000,6595,67371,1345,143727,0.11421653551524766,0.36179701795765584,0.04588560256597577,0.46874282493894676,0.009358019022173982
은평구,2018,16000,52607,6297,68390,1317,144611,0.1106416524330791,0.363782838096687,0.04354440533569369,0.4729239131186424,0.009107191015897822
은평구,2019,15146,57712,5914,68514,1271,148557,0.10195413208398123,0.38848388160773306,0.0398096353588185,0.46119671237302856,0.008555638576438674
